Date,Open,High,Low,Close,Adj Close,Volume
1/1/21,28994.00977,29600.62695,28803.58594,29374.15234,29374.15234,40730301359
1/2/21,29376.45508,33155.11719,29091.18164,32127.26758,32127.26758,67865420765
1/3/21,32129.4082,34608.55859,32052.31641,32782.02344,32782.02344,78665235202
1/4/21,32810.94922,33440.21875,28722.75586,31971.91406,31971.91406,81163475344
1/5/21,31977.04102,34437.58984,30221.1875,33992.42969,33992.42969,67547324782
1/6/21,34013.61328,36879.69922,33514.03516,36824.36328,36824.36328,75289433811
1/7/21,36833.875,40180.36719,36491.19141,39371.04297,39371.04297,84762141031
1/8/21,39381.76563,41946.73828,36838.63672,40797.60938,40797.60938,88107519480
1/9/21,40788.64063,41436.35156,38980.875,40254.54688,40254.54688,61984162837
1/10/21,40254.21875,41420.19141,35984.62891,38356.44141,38356.44141,79980747690
1/11/21,38346.53125,38346.53125,30549.59961,35566.65625,35566.65625,1.23321E+11
1/12/21,35516.35938,36568.52734,32697.97656,33922.96094,33922.96094,74773277909
1/13/21,33915.12109,37599.96094,32584.66797,37316.35938,37316.35938,69364315979
1/14/21,37325.10938,39966.40625,36868.5625,39187.32813,39187.32813,63615990033
1/15/21,39156.70703,39577.71094,34659.58984,36825.36719,36825.36719,67760757881
1/16/21,36821.64844,37864.36719,35633.55469,36178.14063,36178.14063,57706187875
1/17/21,36163.64844,36722.35156,34069.32031,35791.27734,35791.27734,52359854336
1/18/21,35792.23828,37299.28516,34883.84375,36630.07422,36630.07422,49511702429
1/19/21,36642.23438,37755.89063,36069.80469,36069.80469,36069.80469,57244195486
1/20/21,36050.11328,36378.32813,33570.47656,35547.75,35547.75,66834573161
1/21/21,35549.39844,35552.67969,30250.75,30825.69922,30825.69922,75643067688
1/22/21,30817.625,33811.85156,28953.37305,33005.76172,33005.76172,77207272511
1/23/21,32985.75781,33360.97656,31493.16016,32067.64258,32067.64258,48354737975
1/24/21,32064.37695,32944.00781,31106.68555,32289.37891,32289.37891,48643830599
1/25/21,32285.79883,34802.74219,32087.78711,32366.39258,32366.39258,59897054838
1/26/21,32358.61328,32794.55078,31030.26563,32569.84961,32569.84961,60255421470
1/27/21,32564.0293,32564.0293,29367.13867,30432.54688,30432.54688,62576762015
1/28/21,30441.04102,31891.30078,30023.20703,31649.60547,31649.60547,78948162368
1/29/21,34318.67188,38406.26172,32064.81445,34316.38672,34316.38672,1.17895E+11
1/30/21,34295.93359,34834.70703,32940.1875,34269.52344,34269.52344,65141828798
1/31/21,34270.87891,34288.33203,32270.17578,33114.35938,33114.35938,52754542671
2/1/21,33114.57813,34638.21484,32384.22852,33537.17578,33537.17578,61400400660
2/2/21,33533.19922,35896.88281,33489.21875,35510.28906,35510.28906,63088585433
2/3/21,35510.82031,37480.1875,35443.98438,37472.08984,37472.08984,61166818159
2/4/21,37475.10547,38592.17578,36317.5,36926.06641,36926.06641,68838074392
2/5/21,36931.54688,38225.90625,36658.76172,38144.30859,38144.30859,58598066402
2/6/21,38138.38672,40846.54688,38138.38672,39266.01172,39266.01172,71326033653
2/7/21,39250.19141,39621.83594,37446.15234,38903.44141,38903.44141,65500641143
2/8/21,38886.82813,46203.92969,38076.32422,46196.46484,46196.46484,1.01467E+11
2/9/21,46184.99219,48003.72266,45166.96094,46481.10547,46481.10547,91809846886
2/10/21,46469.76172,47145.56641,43881.15234,44918.18359,44918.18359,87301089896
2/11/21,44898.71094,48463.46875,44187.76172,47909.33203,47909.33203,81388911810
2/12/21,47877.03516,48745.73438,46424.97656,47504.85156,47504.85156,76555041196
2/13/21,47491.20313,48047.74609,46392.28125,47105.51563,47105.51563,70250456155
2/14/21,47114.50781,49487.64063,47114.50781,48717.28906,48717.28906,71248675228
2/15/21,48696.53516,48875.57031,46347.47656,47945.05859,47945.05859,77069903166
2/16/21,47944.45703,50341.10156,47201.30469,49199.87109,49199.87109,77049582886
2/17/21,49207.27734,52533.91406,49072.37891,52149.00781,52149.00781,80820545404
2/18/21,52140.97266,52474.10547,51015.76563,51679.79688,51679.79688,52054723579
2/19/21,51675.98047,56113.65234,50937.27734,55888.13281,55888.13281,63495496918
2/20/21,55887.33594,57505.22656,54626.55859,56099.51953,56099.51953,68145460026
2/21/21,56068.56641,58330.57031,55672.60938,57539.94531,57539.94531,51897585191
2/22/21,57532.73828,57533.39063,48967.56641,54207.32031,54207.32031,92052420332
2/23/21,54204.92969,54204.92969,45290.58984,48824.42578,48824.42578,1.06102E+11
2/24/21,48835.08594,51290.13672,47213.5,49705.33203,49705.33203,63695521388
2/25/21,49709.08203,51948.96875,47093.85156,47093.85156,47093.85156,54506565949
2/26/21,47180.46484,48370.78516,44454.84375,46339.76172,46339.76172,3.50968E+11
2/27/21,46344.77344,48253.26953,45269.02734,46188.45313,46188.45313,45910946382
2/28/21,46194.01563,46716.42969,43241.61719,45137.76953,45137.76953,53443887451
,,,,,,
